software mouseReMoCo;version 1.0.2;isWithLSL true;screenWidth 1920;screenHeight 1147;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 467;cornerY 80;centerX 960;centerY 573;externalRadius 493;internalRadius 431;borderRadius 1;cursorRadius 16;indexOfDifficulty 99.98931100908203;taskRadius 461.5;taskTolerance 29
2022-02-07 16:32:43.206

timestamp,mouseX,mouseY,mouseInTarget
1644247996521,981,136,0
1644247996529,986,136,0
1644247996538,991,136,0
1644247996546,997,136,0
1644247996557,1004,136,0
1644247996562,1010,137,0
1644247996570,1017,137,0
1644247996579,1024,137,0
1644247996587,1031,138,0
1644247996594,1039,139,0
1644247996602,1045,140,0
1644247996610,1048,141,0
1644247996620,1057,141,0
1644247996628,1060,142,0
1644247996635,1065,143,0
1644247996643,1075,144,0
1644247996652,1077,144,0
1644247996660,1086,146,0
1644247996669,1090,147,0
1644247996677,1095,149,0
1644247996685,1097,150,0
1644247996692,1105,153,0
1644247996702,1110,155,0
1644247996710,1112,156,0
1644247996718,1116,158,0
1644247996725,1120,160,0
1644247996734,1124,162,0
1644247996743,1127,163,0
1644247996751,1131,165,0
1644247996758,1133,167,0
1644247996767,1139,170,0
1644247996775,1140,171,0
1644247996783,1146,175,0
1644247996792,1149,178,0
1644247996800,1154,181,0
1644247996807,1158,184,0
1644247996816,1164,188,0
1644247996825,1169,192,0
1644247996833,1176,196,0
1644247996841,1185,201,0
1644247996849,1195,206,0
1644247996857,1207,212,0
1644247996865,1217,217,0
1644247996874,1228,222,0
1644247996882,1236,227,0
1644247996889,1245,232,0
1644247996898,1248,233,0
1644247996907,1253,236,0
1644247996914,1258,240,0
1644247996925,1261,242,1
1644247996931,1266,248,0
1644247996938,1268,252,0
1644247996946,1270,259,0
1644247996955,1271,265,0
1644247996963,1272,273,0
1644247996972,1273,277,0
1644247997235,1274,277,0
1644247997242,1279,281,0
1644247997251,1283,286,0
1644247997258,1290,293,0
1644247997267,1296,302,0
1644247997276,1300,310,0
1644247997284,1306,319,0
1644247997291,1311,327,0
1644247997300,1323,345,0
1644247997307,1334,362,0
1644247997316,1344,379,0
1644247997325,1352,393,0
1644247997333,1361,406,0
1644247997341,1367,418,0
1644247997348,1372,427,0
1644247997358,1374,431,0
1644247997365,1377,437,0
1644247997374,1379,442,0
1644247997382,1381,446,0
1644247997390,1382,450,0
1644247997399,1383,453,0
1644247997406,1383,455,0
1644247997415,1383,458,0
1644247997424,1383,460,0
1644247997430,1383,462,0
1644247997440,1383,465,0
1644247997448,1383,467,0
1644247997456,1384,470,0
1644247997464,1384,475,0
1644247997472,1384,479,0
1644247997481,1384,483,0
1644247997493,1385,488,0
1644247997497,1386,494,0
1644247997505,1387,502,0
1644247997513,1388,510,0
1644247997524,1388,518,0
1644247997529,1390,526,0
1644247997537,1392,535,0
1644247997546,1393,547,0
1644247997553,1394,558,0
1644247997561,1396,570,0
1644247997571,1397,582,0
1644247997579,1399,592,0
1644247997587,1400,601,0
1644247997595,1401,604,0
1644247997603,1402,612,0
1644247997612,1402,617,0
1644247997620,1403,627,0
1644247997628,1404,629,1
1644247997636,1404,637,1
1644247997644,1404,642,1
1644247997653,1404,647,1
1644247997661,1404,653,1
1644247997669,1404,660,1
1644247997676,1404,668,1
1644247997686,1403,675,1
1644247997694,1401,683,1
1644247997702,1400,690,1
1644247997710,1398,698,1
1644247997717,1396,704,1
1644247997726,1395,711,1
